time,mode,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32
1781515369.3155427,side_lunge,0.7886254787445068,0.83733069896698,-0.6802715063095093,0.7664278745651245,0.7156286239624023,-0.643655002117157,0.7774920463562012,0.6768394112586975,-0.6443333625793457,0.7885667085647583,0.6439785957336426,-0.6451517939567566,0.7416642904281616,0.8185116052627563,-0.6054162383079529,0.7360553741455078,0.8477354049682617,-0.605136513710022,0.7308682203292847,0.8752660155296326,-0.6056888699531555,0.8330310583114624,0.6103229522705078,-0.3128737807273865,0.7563130855560303,0.8802512288093567,-0.13169923424720764,0.8678959608078003,0.8066235780715942,-0.5461300611495972,0.8306292295455933,0.9151459336280823,-0.4982644021511078,1.1088593006134033,0.6590889692306519,-0.38222503662109375,0.9713147282600403,1.2334272861480713,0.25638678669929504,1.2775087356567383,0.7216874957084656,-0.7169467806816101,1.0849932432174683,1.4354159832000732,0.038137856870889664,1.0122251510620117,0.8128944635391235,-0.41287678480148315,0.9510842561721802,1.085123896598816,-0.15354247391223907,0.9047738313674927,0.8441182374954224,-0.4440968632698059,0.8980304598808289,1.0001938343048096,-0.2015748769044876,0.9011135101318359,0.8062610030174255,-0.36290013790130615,0.903896152973175,1.0140749216079712,-0.1270061582326889,0.9973910450935364,0.787389874458313,-0.3845905363559723,0.9351342916488647,1.0255317687988281,-0.15689842402935028,1.783172607421875,1.2906763553619385,-0.25011807680130005,1.6732089519500732,1.7171565294265747,0.25416386127471924,2.293473243713379,1.7199907302856445,-0.40237489342689514,2.186748743057251,2.0863826274871826,0.20699337124824524,2.781888484954834,2.117814779281616,-0.002394037786871195,2.7003908157348633,2.391406297683716,0.3066534101963043,2.864807605743408,2.1444251537323,0.009840347804129124,2.7784171104431152,2.429685354232788,0.29898518323898315,2.8919360637664795,2.326261281967163,-0.5174387693405151,2.8263936042785645,2.5429012775421143,-0.2366165816783905
1781515369.517437,side_lunge,0.7878910303115845,0.8482047915458679,-0.6308718919754028,0.7638988494873047,0.7230784296989441,-0.594884991645813,0.7746540307998657,0.6849955320358276,-0.5955244898796082,0.785153865814209,0.6527305245399475,-0.5962650775909424,0.7395517826080322,0.8282579183578491,-0.5593177080154419,0.7339504957199097,0.858296811580658,-0.5589708089828491,0.7287047505378723,0.8867723941802979,-0.5595166087150574,0.8251743316650391,0.6172851920127869,-0.2723065912723541,0.752545177936554,0.8863503932952881,-0.10274241119623184,0.8660291433334351,0.8130466938018799,-0.5004516839981079,0.8301833271980286,0.9296202659606934,-0.45573848485946655,1.0896273851394653,0.6614276170730591,-0.33936089277267456,0.9698289036750793,1.2284549474716187,0.2750305235385895,1.221129059791565,0.7676520347595215,-0.622534453868866,1.0650720596313477,1.4279637336730957,0.14705127477645874,0.9980381727218628,0.8239428997039795,-0.27100810408592224,0.9258939027786255,1.0829548835754395,0.11120308935642242,0.8825138807296753,0.8511896133422852,-0.3013699948787689,0.8724963068962097,0.9995960593223572,0.0739063173532486,0.8830204010009766,0.8378708958625793,-0.2417326271533966,0.8822881579399109,1.011351466178894,0.14325258135795593,0.9223531484603882,0.8327186703681946,-0.2515181601047516,0.9129887819290161,1.0222883224487305,0.10865098237991333,1.7618801593780518,1.247790813446045,-0.24567751586437225,1.664064645767212,1.6737850904464722,0.24973516166210175,2.260507822036743,1.61470365524292,-0.4272614121437073,2.1657021045684814,1.9966471195220947,0.18498632311820984,2.7521023750305176,1.9269604682922363,-0.10972297191619873,2.6787400245666504,2.2305665016174316,0.19356796145439148,2.8383054733276367,1.950579285621643,-0.10659588873386383,2.757314682006836,2.2577741146087646,0.17668306827545166,2.8606343269348145,2.100419044494629,-0.623332142829895,2.8079113960266113,2.365482807159424,-0.32720085978507996
1781515369.6406505,side_lunge,0.7861284017562866,0.8578653335571289,-0.5743715167045593,0.7613152265548706,0.7346203923225403,-0.5244365930557251,0.772011935710907,0.6967039108276367,-0.5250977873802185,0.7823944091796875,0.6650609970092773,-0.5258146524429321,0.7382184267044067,0.8394375443458557,-0.5022798776626587,0.7330538630485535,0.8693457841873169,-0.5017231106758118,0.7281829714775085,0.8975089192390442,-0.5022972226142883,0.8217910528182983,0.6306764483451843,-0.169110506772995,0.7521660327911377,0.8981479406356812,-0.06187445670366287,0.8633444905281067,0.8176600337028503,-0.43658655881881714,0.829358696937561,0.9349947571754456,-0.409799188375473,1.0578349828720093,0.7593165636062622,-0.17923800647258759,0.9707310795783997,1.1783311367034912,0.25094178318977356,1.2270591259002686,0.7420457005500793,-0.4082045555114746,1.0583101511001587,1.4280165433883667,0.14494475722312927,1.0748865604400635,0.8237730860710144,-0.09635477513074875,0.9278165102005005,1.0919487476348877,0.04461892694234848,1.0433259010314941,0.8408764600753784,-0.11415840685367584,0.8741737604141235,1.0204594135284424,-0.00043608498526737094,1.0273561477661133,0.8359845280647278,-0.06434015929698944,0.8825986981391907,1.0237716436386108,0.07315276563167572,1.0357344150543213,0.8332083225250244,-0.07908685505390167,0.9133475422859192,1.0312610864639282,0.045275408774614334,1.7475054264068604,1.2163995504379272,-0.189285010099411,1.6554958820343018,1.668330192565918,0.19366975128650665,2.261902332305908,1.5486551523208618,-0.42027392983436584,2.1713271141052246,1.9431825876235962,0.092573381960392,2.753392219543457,1.840700387954712,-0.10828308016061783,2.680513620376587,2.1668789386749268,0.0651153102517128,2.8367817401885986,1.8697607517242432,-0.1090683713555336,2.7575345039367676,2.2033066749572754,0.04558742418885231,2.8629117012023926,1.9900681972503662,-0.6532289385795593,2.8112499713897705,2.2560925483703613,-0.4950857162475586
1781515369.770173,side_lunge,0.7860418558120728,0.872593104839325,-0.5505314469337463,0.7603555917739868,0.7532133460044861,-0.5110560059547424,0.7707123160362244,0.7153862714767456,-0.5116809010505676,0.7806897759437561,0.683174192905426,-0.5123927593231201,0.7379238605499268,0.852995753288269,-0.480313777923584,0.732877254486084,0.8805631995201111,-0.47968021035194397,0.7280643582344055,0.9066539406776428,-0.4802683889865875,0.8186747431755066,0.6467824578285217,-0.17912675440311432,0.7518318295478821,0.9025943279266357,-0.0371333584189415,0.8621343374252319,0.8281651139259338,-0.41750556230545044,0.8293566703796387,0.9401603937149048,-0.3807761073112488,1.0465757846832275,0.773789644241333,-0.2172713577747345,0.969748854637146,1.1407790184020996,0.28083887696266174,1.2356719970703125,0.7418118119239807,-0.4567740857601166,1.0599300861358643,1.4280283451080322,0.12599821388721466,1.0638172626495361,0.8249158263206482,-0.44952988624572754,0.936240553855896,1.114169955253601,-0.06896450370550156,1.015382170677185,0.834009051322937,-0.49471408128738403,0.8891433477401733,1.0558505058288574,-0.13284431397914886,1.0017726421356201,0.8305999040603638,-0.4287024140357971,0.8977522850036621,1.0522936582565308,-0.06525450944900513,1.0275763273239136,0.8335875868797302,-0.4272778034210205,0.9285993576049805,1.0553061962127686,-0.07209163159132004,1.7329223155975342,1.2050262689590454,-0.189504936337471,1.6442219018936157,1.652406096458435,0.19395869970321655,2.256561517715454,1.5208297967910767,-0.4182513356208801,2.1715731620788574,1.9087276458740234,0.08504746854305267,2.7439815998077393,1.8113751411437988,-0.12619051337242126,2.67879319190979,2.1270956993103027,0.04804948344826698,2.8261468410491943,1.8383233547210693,-0.12833012640476227,2.756005048751831,2.15999174118042,0.02683323621749878,2.854611873626709,1.9615706205368042,-0.6622973680496216,2.804131031036377,2.2285139560699463,-0.49231410026550293
1781515369.8934956,side_lunge,0.7809466123580933,0.8748409748077393,-0.5910885334014893,0.7535252571105957,0.7586132287979126,-0.5198337435722351,0.762868344783783,0.7222660779953003,-0.5206584930419922,0.7721242904663086,0.6909917593002319,-0.521685004234314,0.7332862615585327,0.8567854166030884,-0.5022305250167847,0.7286339402198792,0.8848397135734558,-0.5011570453643799,0.7240883111953735,0.9114470481872559,-0.5017995238304138,0.8093658685684204,0.6574761271476746,-0.18723008036613464,0.7482682466506958,0.910561203956604,-0.05211595445871353,0.8536255955696106,0.8316180109977722,-0.42646604776382446,0.8259499669075012,0.9445509910583496,-0.4159615635871887,1.0420019626617432,0.7631143927574158,-0.18139901757240295,0.9555681347846985,1.242608666419983,0.2035069465637207,1.2833564281463623,0.7411922812461853,-0.6657930612564087,1.0593616962432861,1.4637041091918945,-0.14031989872455597,1.0343272686004639,0.8712038397789001,-0.8870397806167603,0.9187734723091125,1.112676739692688,-0.4789508879184723,0.9285947680473328,0.8400245904922485,-0.966242790222168,0.8650659322738647,1.045056700706482,-0.5698297619819641,0.9210931062698364,0.8344732522964478,-0.8794986605644226,0.8706191182136536,1.0411157608032227,-0.4752863943576813,1.0235209465026855,0.8263060450553894,-0.8659323453903198,0.9039220809936523,1.0473357439041138,-0.47343939542770386,1.7215286493301392,1.204930067062378,-0.18436536192893982,1.6241490840911865,1.6565181016921997,0.18873919546604156,2.242926597595215,1.5413473844528198,-0.45674076676368713,2.1526389122009277,1.93397855758667,0.0911230742931366,2.736332893371582,1.8298288583755493,-0.17703752219676971,2.6493566036224365,2.1790575981140137,0.09061017632484436,2.819133758544922,1.8527253866195679,-0.18315397202968597,2.7218356132507324,2.2134435176849365,0.07372038811445236,2.8430395126342773,1.9840400218963623,-0.800275981426239,2.780165433883667,2.284593105316162,-0.5057419538497925
1781515370.0150278,side_lunge,0.7720391154289246,0.8949704766273499,-0.7046359181404114,0.7388859391212463,0.7875156998634338,-0.6529921293258667,0.7460793852806091,0.7518481612205505,-0.6535015106201172,0.7541850805282593,0.7181175947189331,-0.6543155312538147,0.724602222442627,0.8804932236671448,-0.6015068888664246,0.7214246392250061,0.9065600037574768,-0.6004968285560608,0.7180788516998291,0.9307730793952942,-0.6010700464248657,0.7954971194267273,0.6751794815063477,-0.29203104972839355,0.7417335510253906,0.9258520603179932,-0.05626814439892769,0.8421984910964966,0.84215247631073,-0.5623263716697693,0.8189031481742859,0.9514517188072205,-0.4943554401397705,1.0316007137298584,0.7122018337249756,-0.3478313088417053,0.9451521039009094,1.2488948106765747,0.2081180363893509,1.3165013790130615,0.7339423298835754,-1.080780029296875,1.0522353649139404,1.5040255784988403,-0.2771734595298767,1.0008625984191895,0.8792118430137634,-1.344022512435913,0.9086817502975464,1.1123270988464355,-0.9937773942947388,0.9023858308792114,0.8769932985305786,-1.4517998695373535,0.8600164651870728,1.0420303344726562,-1.113363265991211,0.8891269564628601,0.8545427322387695,-1.3338876962661743,0.8605451583862305,1.035171389579773,-1.0165188312530518,0.9318609237670898,0.8476715683937073,-1.308619737625122,0.8926190137863159,1.0436804294586182,-0.993898868560791,1.7044670581817627,1.162326693534851,-0.24084636569023132,1.5910359621047974,1.6324808597564697,0.24558019638061523,2.2135374546051025,1.544823169708252,-0.5068522691726685,2.100374698638916,1.9370189905166626,0.3452298939228058,2.702336072921753,1.8640284538269043,-0.15379084646701813,2.586841106414795,2.2344133853912354,0.6197954416275024,2.7835536003112793,1.8827035427093506,-0.15600329637527466,2.6539666652679443,2.274531841278076,0.6292623281478882,2.7962615489959717,2.0363190174102783,-0.8289408683776855,2.718996047973633,2.320382595062256,-0.027935171499848366
1781515370.156414,side_lunge,0.7697861790657043,0.903576672077179,-0.6253502368927002,0.7356994152069092,0.7901245951652527,-0.5894891619682312,0.7434301972389221,0.7541185021400452,-0.5900576710700989,0.7521430850028992,0.7201167345046997,-0.5908721685409546,0.7210181355476379,0.8839727640151978,-0.5427494645118713,0.7179378271102905,0.9107027053833008,-0.5421682000160217,0.7147589325904846,0.9357414841651917,-0.5428122282028198,0.7930012941360474,0.6792172193527222,-0.2796206474304199,0.7364501953125,0.9337316155433655,-0.05538850277662277,0.8381059765815735,0.85447758436203,-0.5014756321907043,0.8162620663642883,0.968973696231842,-0.4419221878051758,1.0227783918380737,0.7326078414916992,-0.3456323444843292,0.9404422640800476,1.1648470163345337,0.2506137490272522,1.312974214553833,0.7290855646133423,-0.9353502988815308,1.0264325141906738,1.497706413269043,-0.20069511234760284,0.997449517250061,0.8802948594093323,-0.8679216504096985,0.9027562141418457,1.1128933429718018,-0.7178937196731567,1.009619116783142,0.8517866134643555,-0.9276250600814819,0.8545306324958801,1.0405800342559814,-0.8060121536254883,0.9810754060745239,0.8369750380516052,-0.8391975164413452,0.8598500490188599,1.0343658924102783,-0.7242734432220459,0.9923960566520691,0.844927191734314,-0.8433517217636108,0.8926579356193542,1.0432928800582886,-0.7211375832557678,1.6733150482177734,1.1612430810928345,-0.25122469663619995,1.582400918006897,1.5941438674926758,0.25505369901657104,2.165949583053589,1.4999388456344604,-0.4344762861728668,2.083855152130127,1.850487470626831,0.31867504119873047,2.6335325241088867,1.7949215173721313,-0.07449327409267426,2.5588841438293457,2.05983304977417,0.4819221496582031,2.710486650466919,1.8155641555786133,-0.06915551424026489,2.631619453430176,2.0865681171417236,0.48519426584243774,2.737276315689087,1.9486514329910278,-0.5925067067146301,2.665712594985962,2.1694095134735107,-0.004277380649000406
1781515370.274598,side_lunge,0.7678778171539307,0.9117959141731262,-0.5184434056282043,0.7323583364486694,0.7963347434997559,-0.4933895468711853,0.7402924299240112,0.760662853717804,-0.4939047694206238,0.7492936849594116,0.7260551452636719,-0.49481096863746643,0.7167733311653137,0.8847880959510803,-0.4527113437652588,0.7131555676460266,0.9100329875946045,-0.4520959258079529,0.7093459367752075,0.9342948794364929,-0.4527197480201721,0.7882978320121765,0.6822786331176758,-0.23820635676383972,0.7268053889274597,0.9320610165596008,-0.038816310465335846,0.8335177302360535,0.8743788599967957,-0.4105947017669678,0.8123405575752258,0.9810531735420227,-0.35799020528793335,0.9992626905441284,0.7287818193435669,-0.2915530204772949,0.9135719537734985,1.170457124710083,0.2381836175918579,1.310247778892517,0.7794854640960693,-0.8794126510620117,1.0067750215530396,1.440816044807434,-0.15819315612316132,0.9832659959793091,0.8958827257156372,-0.8426373600959778,0.8762057423591614,1.0925424098968506,-0.5935714840888977,0.9906013607978821,0.8752800822257996,-0.9190797805786133,0.826739490032196,1.018774151802063,-0.6819218397140503,0.9686424136161804,0.8392161130905151,-0.8428739309310913,0.8333102464675903,1.0147300958633423,-0.6139149069786072,0.9808640480041504,0.8580031394958496,-0.8172354698181152,0.8677923083305359,1.0173720121383667,-0.6003482937812805,1.646219253540039,1.1100654602050781,-0.16424593329429626,1.5666115283966064,1.5285589694976807,0.16735121607780457,2.126420736312866,1.3503665924072266,-0.23533093929290771,2.056797504425049,1.7751871347427368,0.25972336530685425,2.5558619499206543,1.6613303422927856,0.06011904031038284,2.5170958042144775,1.9625064134597778,0.45702534914016724,2.6202645301818848,1.7001363039016724,0.07116242498159409,2.594846248626709,1.96901273727417,0.4345978796482086,2.6887571811676025,1.790838599205017,-0.33521297574043274,2.6217236518859863,2.1013479232788086,-0.07937517017126083
1781515370.3862014,side_lunge,0.7596293687820435,0.9150199294090271,-0.7233514785766602,0.7241644859313965,0.7948328852653503,-0.6807242631912231,0.7325984239578247,0.7582738399505615,-0.6813708543777466,0.7422913312911987,0.7236278057098389,-0.6822124719619751,0.7083953619003296,0.8854851722717285,-0.6411873698234558,0.7046648263931274,0.9110977053642273,-0.6407107710838318,0.7006864547729492,0.93565434217453,-0.6413100361824036,0.7849162220954895,0.6804602146148682,-0.33990201354026794,0.7199527621269226,0.937289834022522,-0.15111258625984192,0.8254984021186829,0.8763906955718994,-0.5852585434913635,0.8025811910629272,0.9861841201782227,-0.534787118434906,1.006180763244629,0.6908242702484131,-0.39186930656433105,0.8987105488777161,1.2245665788650513,0.2296033352613449,1.3086823225021362,0.7903703451156616,-1.015911340713501,1.0146948099136353,1.4549517631530762,-0.1879357248544693,0.9796015024185181,0.8924150466918945,-1.2010948657989502,0.8836978077888489,1.1027723550796509,-0.7676936984062195,0.9834321141242981,0.8747120499610901,-1.3046486377716064,0.8323297500610352,1.0245076417922974,-0.8438072204589844,0.8927887678146362,0.866597056388855,-1.200521469116211,0.8404762148857117,1.0241615772247314,-0.7695572376251221,0.9775155782699585,0.8553577065467834,-1.1668305397033691,0.8740962743759155,1.0260844230651855,-0.7703563570976257,1.6433296203613281,1.12809419631958,-0.23077404499053955,1.5522081851959229,1.553468942642212,0.2340352088212967,2.0922462940216064,1.4181311130523682,-0.38459059596061707,2.000643730163574,1.8234971761703491,0.32123103737831116,2.5133376121520996,1.738875150680542,0.017972735688090324,2.426726818084717,2.0398991107940674,0.5667018890380859,2.583345890045166,1.769051432609558,0.027207281440496445,2.496478319168091,2.058704137802124,0.5774685740470886,2.616084337234497,1.8893392086029053,-0.4558395445346832,2.5265727043151855,2.1712560653686523,0.1308824121952057
1781515370.4956062,side_lunge,0.7549983263015747,0.915687620639801,-0.809594452381134,0.7210198044776917,0.7936986088752747,-0.7604721784591675,0.7300716638565063,0.7565390467643738,-0.7612088322639465,0.7400600910186768,0.7220057845115662,-0.7620298862457275,0.704614520072937,0.8858255743980408,-0.720053493976593,0.7009279727935791,0.9114684462547302,-0.7195976972579956,0.6969860792160034,0.9359254837036133,-0.7201708555221558,0.783676266670227,0.6793352961540222,-0.38340845704078674,0.7187957167625427,0.937058687210083,-0.1859544813632965,0.8223828077316284,0.8750370740890503,-0.6624904274940491,0.7997263669967651,0.9862410426139832,-0.6095510125160217,1.0062617063522339,0.6929652094841003,-0.42316102981567383,0.9050954580307007,1.2413684129714966,0.22363421320915222,1.277544617652893,0.7991631627082825,-1.041110873222351,1.0121616125106812,1.461482048034668,-0.19971337914466858,0.9664109945297241,0.9015949964523315,-1.2017229795455933,0.8844751119613647,1.1051634550094604,-0.782663881778717,0.9615397453308105,0.8762744665145874,-1.3044922351837158,0.8354741334915161,1.0280777215957642,-0.8710547685623169,0.895886242389679,0.8638727068901062,-1.2029764652252197,0.8427192568778992,1.0257591009140015,-0.7940535545349121,0.955527663230896,0.8649622797966003,-1.17023503780365,0.8743962049484253,1.0279836654663086,-0.7864256501197815,1.6444171667099,1.1386736631393433,-0.2800277769565582,1.5513956546783447,1.5623908042907715,0.2832415699958801,2.098045825958252,1.4481101036071777,-0.5365289449691772,1.9973726272583008,1.8490629196166992,0.38529136776924133,2.543241262435913,1.756118893623352,-0.19548840820789337,2.4392476081848145,2.069401741027832,0.6015870571136475,2.619931697845459,1.775850772857666,-0.19614940881729126,2.508913516998291,2.090571165084839,0.6088488101959229,2.6334965229034424,1.916732907295227,-0.789585530757904,2.542311906814575,2.1947882175445557,0.09795035421848297
